,Batting_Hand,total_matches,total_runs,centuries,half_centuries,total_fours,total_sixes,total_dotballs,total_balls_faced,total_ducks,best_score,total_outs,batting_average,India,New Zealand,South Africa,Sri Lanka,West Indies,other,Legbreak googly,Right-arm fast-medium,Right-arm medium,Right-arm medium-fast,Right-arm offbreak,Slow left-arm orthodox,other_bowling
193,0,98,81,0,0,6,4,58,100,85,17,9,9.0,0,0,0,1,0,0,0,0,0,0,0,0,1
194,0,1,2,0,0,0,0,1,2,0,2,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0
195,0,23,2,0,0,0,0,8,10,21,1,3,0.6666666666666666,1,0,0,0,0,0,0,0,0,1,0,0,0
196,0,40,663,0,2,59,19,207,552,5,61,27,24.555555555555557,0,0,0,0,0,0,0,0,1,0,0,0,0
197,0,10,123,0,0,9,4,38,103,2,33,2,61.5,0,0,0,0,0,0,0,1,0,0,0,0,0
198,0,26,285,0,0,20,9,113,271,9,44,9,31.66666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0
199,0,2,6,0,0,1,0,4,7,1,6,1,6.0,1,0,0,0,0,0,0,0,1,0,0,0,0
200,0,110,231,0,0,22,2,104,245,80,29,18,12.833333333333336,1,0,0,0,0,0,0,0,0,0,1,0,0
201,0,1,2,0,0,0,0,10,12,0,2,1,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0
202,0,30,390,0,1,50,4,200,403,9,51,16,24.375,1,0,0,0,0,0,0,0,0,0,0,0,0
203,0,23,506,0,4,34,23,149,405,1,76,6,84.33333333333333,0,0,0,0,0,1,0,0,0,0,1,0,0
204,1,5,63,0,0,6,1,34,69,2,40,4,15.75,1,0,0,0,0,0,0,0,1,0,0,0,0
205,0,8,8,0,0,0,0,5,11,5,4,1,8.0,1,0,0,0,0,0,0,0,1,0,0,0,0
206,0,32,321,0,1,37,11,125,260,11,59,21,15.285714285714285,1,0,0,0,0,0,0,0,1,0,0,0,0
207,0,109,2325,0,13,198,76,663,1884,15,81,71,32.74647887323944,1,0,0,0,0,0,0,0,0,0,1,0,0
208,0,34,270,0,0,22,6,92,236,12,27,15,18.0,1,0,0,0,0,0,0,0,1,0,0,0,0
209,1,18,159,0,1,14,1,76,178,7,51,7,22.714285714285715,0,0,1,0,0,0,0,0,0,1,0,0,0
210,0,21,217,0,1,19,5,98,218,7,53,11,19.727272727272727,1,0,0,0,0,0,0,0,0,0,1,0,0
211,0,13,127,0,0,4,5,63,141,2,41,9,14.111111111111107,1,0,0,0,0,0,0,0,0,0,0,0,0
212,1,2,4,0,0,0,0,3,7,1,4,1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1
